City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,prince rupert,54.3161,-130.3201,9.05,87,100,2.06,CA,1683392939
211,olonkinbyen,70.9221,-8.7187,-0.18,98,100,4.07,SJ,1683392933
212,luderitz,-26.6481,15.1594,14.27,87,0,4.45,NA,1683392939
213,lihue,21.9789,-159.3672,22.77,84,100,8.75,US,1683392940
214,rizokarpaso,35.6,34.375,17.86,70,96,4.67,CY,1683392940
215,rampur,28.8167,79.0333,28.4,37,4,2.95,IN,1683392445
216,san clemente del tuyu,-36.3569,-56.7235,17.27,95,100,8.95,AR,1683392940
217,altai,46.3722,96.2583,0.91,85,100,4.68,MN,1683392940
218,inongo,-1.95,18.2667,23.88,90,63,1.74,CD,1683392940
219,san andres,12.5847,-81.7006,31.01,66,40,7.2,CO,1683392940
220,ad dabbah,18.05,30.95,36.49,7,54,6.26,SD,1683392941
221,ambato boeny,-16.4667,46.7167,25.29,56,0,1.07,MG,1683392941
222,freetown,8.484,-13.2299,28.21,73,98,3.5,SL,1683392941
223,lhasa,29.65,91.1,10.46,35,84,2.52,CN,1683392941
224,kingsford,-33.924,151.2275,13.41,80,20,2.06,AU,1683392941
225,gamba,-2.65,10.0,26.53,80,91,2.21,GA,1683392943
226,kibale,0.8,31.0667,17.61,95,59,0.8,UG,1683392943
227,tinghir,31.5157,-5.5343,29.48,8,100,2.53,MA,1683392943
228,polyarnyy,69.1989,33.4478,1.77,93,98,2.5,RU,1683392944
229,san salvador de jujuy,-24.1946,-65.2971,17.74,61,76,2.07,AR,1683392724
230,muana,-1.5283,-49.2167,32.17,55,45,1.82,BR,1683392854
231,al kharj,24.155,47.3346,33.92,14,0,4.71,SA,1683392945
232,brisas de zicatela,15.8369,-97.0419,33.29,58,0,0.0,MX,1683392945
233,cabedelo,-6.9811,-34.8339,30.37,68,20,5.93,BR,1683392945
234,nioki,-2.7167,17.6833,27.19,70,83,0.6,CD,1683392945
235,uliastay,47.7417,96.8444,5.52,79,100,0.29,MN,1683392946
236,mount isa,-20.7333,139.5,19.87,30,15,8.23,AU,1683392946
237,anadyr,64.75,177.4833,-4.72,93,40,5.0,RU,1683392946
238,melfort,52.8667,-104.6177,12.99,50,93,6.79,CA,1683392946
239,tres arroyos,-38.3739,-60.2798,14.11,73,90,2.29,AR,1683392946
240,bhamo,24.2667,97.2333,26.46,48,20,0.4,MM,1683392891
241,serowe,-22.3833,26.7167,22.74,29,12,3.01,BW,1683392947
242,cantilan,9.3336,125.9775,24.76,89,74,1.65,PH,1683392947
243,laguna,38.421,-121.4238,13.36,92,100,4.12,US,1683392947
244,san carlos de bariloche,-41.1456,-71.3082,13.58,57,12,1.58,AR,1683392948
245,dzuunharaa,48.8523,106.4579,6.73,34,100,2.02,MN,1683392948
246,prado,-17.3411,-39.2208,27.2,63,20,5.01,BR,1683392948
247,itoman,26.1247,127.6694,25.22,94,75,7.72,JP,1683392949
248,beyneu,45.3167,55.2,20.59,20,100,4.27,KZ,1683392949
249,kupang,-10.1667,123.5833,25.98,84,86,4.24,ID,1683392949
250,ciudad lazaro cardenas,17.9583,-102.2,30.89,56,6,3.46,MX,1683392935
